"User_ID","Age","Gender","Location","Income","Interests","Last_Login_Days_Ago","Purchase_Frequency","Average_Order_Value","Total_Spending","Product_Category_Preference","Time_Spent_on_Site_Minutes","Pages_Viewed","Newsletter_Subscription","RFM_score","Recency","Frequency","Monetary","customer_segment","macro_segment"
"49","19","Male","Rural","8151","Technology","1","3","766.33","2299","Home & Kitchen","589","27","True","10","1","3","2299","重要挽留客户","重要客户"
"50","37","Male","Suburban","44668","Sports","4","10","353.6","3536","Health & Beauty","419","6","False","13","4","10","3536","重要唤回客户","核心客户"
"51","45","Male","Urban","30458","Food","12","14","35.64","499","Apparel","85","26","False","10","12","14","499","重要挽留客户","重要客户"
"52","64","Male","Urban","23295","Food","28","5","735.8","3679","Books","416","2","True","9","28","5","3679","潜力客户","潜力客户"
"53","24","Male","Urban","82381","Technology","27","1","8122","8122","Electronics","482","45","True","7","27","1","8122","新客户","一般客户"
"54","61","Female","Urban","73133","Food","24","2","1015.5","2031","Books","456","13","False","6","24","2","2031","一般维持客户","一般客户"
"55","25","Female","Rural","21343","Technology","10","2","567.5","1135","Apparel","297","19","True","7","10","2","1135","新客户","一般客户"
"56","64","Female","Rural","2538","Food","23","13","93.69","1218","Apparel","112","1","True","9","23","13","1218","潜力客户","潜力客户"
"57","52","Female","Suburban","107460","Food","25","13","264.23","3435","Health & Beauty","230","40","False","10","25","13","3435","重要挽留客户","重要客户"
"58","31","Male","Suburban","49630","Technology","21","1","4269","4269","Home & Kitchen","96","32","True","8","21","1","4269","潜力客户","潜力客户"
"59","34","Male","Rural","17917","Travel","29","6","209.67","1258","Home & Kitchen","378","22","False","6","29","6","1258","一般维持客户","一般客户"
"60","53","Female","Rural","30555","Food","26","20","36.2","724","Apparel","156","48","False","7","26","20","724","新客户","一般客户"
"61","57","Male","Urban","144466","Sports","20","7","117.14","820","Health & Beauty","421","29","False","6","20","7","820","一般维持客户","一般客户"
"62","21","Female","Urban","3128","Travel","24","3","656.33","1969","Health & Beauty","105","2","True","6","24","3","1969","一般维持客户","一般客户"
"63","19","Female","Suburban","83717","Technology","25","2","1680.5","3361","Electronics","330","40","True","7","25","2","3361","新客户","一般客户"
"64","23","Female","Rural","28598","Travel","13","5","110.6","553","Home & Kitchen","439","38","False","7","13","5","553","新客户","一般客户"
"65","59","Male","Suburban","41220","Fashion","23","9","314.56","2831","Apparel","132","48","False","10","23","9","2831","重要挽留客户","重要客户"
"66","21","Female","Rural","14509","Fashion","14","2","650.5","1301","Books","382","11","True","6","14","2","1301","一般维持客户","一般客户"
"67","46","Female","Urban","37624","Food","23","4","640","2560","Home & Kitchen","138","17","True","7","23","4","2560","新客户","一般客户"
"68","35","Female","Suburban","55284","Food","5","16","167.19","2675","Electronics","270","43","True","13","5","16","2675","重要唤回客户","核心客户"
"69","43","Male","Suburban","92605","Sports","4","13","287.08","3732","Health & Beauty","550","8","False","15","4","13","3732","重要价值客户","核心客户"
"70","61","Male","Rural","29760","Travel","14","15","83.73","1256","Apparel","396","22","False","10","14","15","1256","重要挽留客户","重要客户"
"71","51","Female","Urban","70130","Fashion","10","8","197.5","1580","Home & Kitchen","557","4","True","9","10","8","1580","潜力客户","潜力客户"
"72","27","Male","Suburban","92693","Food","17","7","427.14","2990","Books","464","11","True","10","17","7","2990","重要挽留客户","重要客户"
"73","53","Male","Urban","42278","Travel","10","1","3032","3032","Electronics","450","8","True","9","10","1","3032","潜力客户","潜力客户"
"74","31","Male","Suburban","104322","Food","26","9","336.44","3028","Electronics","331","9","False","9","26","9","3028","潜力客户","潜力客户"
"75","48","Male","Urban","12667","Food","7","7","431.57","3021","Home & Kitchen","253","26","False","12","7","7","3021","重要深耕客户","重要客户"
"76","32","Male","Rural","13738","Fashion","16","8","138.88","1111","Books","285","2","True","8","16","8","1111","潜力客户","潜力客户"
"77","25","Male","Suburban","50552","Fashion","1","6","421.83","2531","Electronics","274","16","True","11","1","6","2531","重要深耕客户","重要客户"
"78","31","Male","Suburban","106015","Food","17","10","307.3","3073","Apparel","20","31","False","11","17","10","3073","重要深耕客户","重要客户"
"79","40","Male","Urban","82572","Technology","21","2","4439","8878","Electronics","239","6","False","9","21","2","8878","潜力客户","潜力客户"
"80","57","Male","Urban","129729","Food","29","6","28.17","169","Books","270","21","True","5","29","6","169","一般维持客户","一般客户"
"81","38","Male","Suburban","118354","Food","9","7","401.57","2811","Health & Beauty","418","26","True","11","9","7","2811","重要深耕客户","重要客户"
"82","33","Female","Rural","5035","Sports","6","14","70.57","988","Health & Beauty","310","19","True","11","6","14","988","重要深耕客户","重要客户"
"83","62","Female","Urban","108686","Sports","19","8","250.25","2002","Home & Kitchen","31","28","False","7","19","8","2002","新客户","一般客户"
"84","35","Male","Urban","12029","Sports","13","9","154.33","1389","Books","104","8","True","10","13","9","1389","重要挽留客户","重要客户"
"85","64","Female","Urban","31512","Technology","3","3","1188.67","3566","Electronics","186","14","False","12","3","3","3566","重要深耕客户","重要客户"
"86","41","Female","Suburban","71137","Technology","7","1","4729","4729","Electronics","128","24","False","11","7","1","4729","重要深耕客户","重要客户"
"87","43","Male","Suburban","111665","Food","22","6","548.5","3291","Health & Beauty","210","48","True","9","22","6","3291","潜力客户","潜力客户"
"88","42","Male","Suburban","114066","Sports","9","11","263.64","2900","Health & Beauty","414","44","True","12","9","11","2900","重要深耕客户","重要客户"
"89","62","Male","Suburban","102497","Technology","22","2","2308","4616","Apparel","281","37","False","9","22","2","4616","潜力客户","潜力客户"
"90","58","Female","Rural","2269","Fashion","5","1","1279","1279","Health & Beauty","253","26","True","8","5","1","1279","潜力客户","潜力客户"
"91","46","Female","Rural","34584","Food","10","12","110.75","1329","Apparel","19","31","False","10","10","12","1329","重要挽留客户","重要客户"
"92","32","Male","Suburban","84349","Travel","23","5","588","2940","Electronics","136","32","True","9","23","5","2940","潜力客户","潜力客户"
"93","62","Male","Rural","23630","Food","17","17","61","1037","Apparel","223","41","True","9","17","17","1037","潜力客户","潜力客户"
"94","18","Male","Urban","80795","Travel","12","11","157.55","1733","Apparel","3","2","True","10","12","11","1733","重要挽留客户","重要客户"
"95","42","Female","Urban","38721","Sports","23","12","106","1272","Home & Kitchen","236","25","True","8","23","12","1272","潜力客户","潜力客户"
"96","24","Female","Urban","132872","Travel","16","6","63.17","379","Health & Beauty","465","44","False","7","16","6","379","新客户","一般客户"
"97","26","Female","Suburban","116451","Sports","3","6","661.67","3970","Apparel","228","2","False","13","3","6","3970","重要唤回客户","核心客户"
"98","41","Female","Urban","30374","Fashion","25","1","2374","2374","Electronics","499","42","False","5","25","1","2374","一般维持客户","一般客户"
"99","18","Male","Rural","30072","Travel","22","7","282.71","1979","Books","521","1","True","7","22","7","1979","新客户","一般客户"
"100","61","Male","Suburban","71884","Food","9","9","306.89","2762","Apparel","139","36","False","12","9","9","2762","重要深耕客户","重要客户"
"101","25","Male","Rural","27690","Sports","29","7","194.43","1361","Health & Beauty","276","12","False","6","29","7","1361","一般维持客户","一般客户"
"102","41","Male","Urban","146132","Food","15","2","700","1400","Home & Kitchen","291","9","False","6","15","2","1400","一般维持客户","一般客户"
"103","28","Female","Urban","54331","Technology","5","2","3145","6290","Electronics","53","36","True","12","5","2","6290","重要深耕客户","重要客户"
"104","34","Female","Urban","143267","Sports","23","7","222.71","1559","Home & Kitchen","110","41","False","7","23","7","1559","新客户","一般客户"
"105","25","Male","Suburban","74796","Travel","13","16","184.25","2948","Books","4","28","True","13","13","16","2948","重要唤回客户","核心客户"
"106","52","Male","Rural","1812","Sports","14","12","16.67","200","Apparel","47","38","True","8","14","12","200","潜力客户","潜力客户"
"107","52","Female","Suburban","75797","Food","20","7","493.43","3454","Apparel","94","33","False","9","20","7","3454","潜力客户","潜力客户"
"108","50","Male","Suburban","43175","Fashion","15","9","229.33","2064","Health & Beauty","560","42","True","10","15","9","2064","重要挽留客户","重要客户"
"109","22","Female","Urban","85991","Sports","16","10","217","2170","Apparel","213","46","False","10","16","10","2170","重要挽留客户","重要客户"
"110","59","Male","Suburban","77635","Travel","23","9","281.44","2533","Electronics","436","22","False","9","23","9","2533","潜力客户","潜力客户"
"111","56","Male","Suburban","119883","Technology","13","1","4616","4616","Books","508","25","False","10","13","1","4616","重要挽留客户","重要客户"
"112","58","Male","Urban","29642","Fashion","17","9","547.67","4929","Home & Kitchen","205","18","False","12","17","9","4929","重要深耕客户","重要客户"
"113","45","Male","Suburban","52161","Technology","23","2","1683.5","3367","Books","381","6","False","8","23","2","3367","潜力客户","潜力客户"
"114","24","Male","Urban","76676","Sports","8","9","307.67","2769","Apparel","73","18","True","12","8","9","2769","重要深耕客户","重要客户"
"115","26","Male","Urban","64641","Food","21","20","198.25","3965","Home & Kitchen","516","16","False","12","21","20","3965","重要深耕客户","重要客户"
"116","25","Male","Urban","5626","Food","2","11","348.36","3832","Health & Beauty","76","15","True","14","2","11","3832","重要价值客户","核心客户"
"117","29","Female","Urban","126225","Travel","5","18","45.72","823","Books","77","48","False","11","5","18","823","重要深耕客户","重要客户"
"118","51","Female","Suburban","52635","Food","6","8","470.13","3761","Home & Kitchen","410","8","False","14","6","8","3761","重要价值客户","核心客户"
"119","50","Female","Urban","75898","Fashion","12","1","2403","2403","Home & Kitchen","106","13","False","8","12","1","2403","潜力客户","潜力客户"
"120","40","Female","Urban","84260","Food","18","12","168.5","2022","Home & Kitchen","551","43","True","10","18","12","2022","重要挽留客户","重要客户"
"121","41","Female","Suburban","105349","Travel","22","14","157.57","2206","Electronics","476","7","True","10","22","14","2206","重要挽留客户","重要客户"
"122","54","Male","Suburban","77467","Sports","22","3","1130.33","3391","Books","275","17","True","8","22","3","3391","潜力客户","潜力客户"
"123","52","Male","Rural","378","Sports","1","14","144.93","2029","Home & Kitchen","88","32","True","13","1","14","2029","重要唤回客户","核心客户"
"124","61","Female","Suburban","116102","Food","17","7","534","3738","Books","77","22","False","11","17","7","3738","重要深耕客户","重要客户"
"125","57","Male","Suburban","93498","Technology","11","1","3161","3161","Home & Kitchen","77","13","False","9","11","1","3161","潜力客户","潜力客户"
"126","39","Female","Rural","16204","Sports","10","13","182.15","2368","Health & Beauty","442","47","True","12","10","13","2368","重要深耕客户","重要客户"
"127","44","Female","Suburban","73862","Food","19","17","229.29","3898","Health & Beauty","540","23","True","12","19","17","3898","重要深耕客户","重要客户"
"128","52","Male","Suburban","47800","Travel","14","15","161.93","2429","Health & Beauty","245","29","True","11","14","15","2429","重要深耕客户","重要客户"
"129","18","Male","Suburban","69112","Food","26","6","427.67","2566","Apparel","578","22","False","7","26","6","2566","新客户","一般客户"
"130","52","Male","Suburban","109482","Sports","10","7","382.43","2677","Home & Kitchen","382","1","True","10","10","7","2677","重要挽留客户","重要客户"
"131","54","Female","Rural","5086","Travel","15","10","174.5","1745","Apparel","570","29","True","9","15","10","1745","潜力客户","潜力客户"
"132","64","Male","Suburban","44344","Food","28","11","272.64","2999","Books","142","48","False","9","28","11","2999","潜力客户","潜力客户"
"133","31","Female","Suburban","64101","Fashion","19","3","566.33","1699","Apparel","368","5","True","6","19","3","1699","一般维持客户","一般客户"
"134","20","Female","Rural","18300","Travel","4","6","187","1122","Books","84","35","False","10","4","6","1122","重要挽留客户","重要客户"
"135","18","Female","Urban","5472","Fashion","2","5","16.8","84","Books","143","10","False","8","2","5","84","潜力客户","潜力客户"
"136","22","Male","Rural","12808","Technology","9","2","1163","2326","Books","352","19","False","8","9","2","2326","潜力客户","潜力客户"
"137","43","Male","Urban","120492","Travel","10","20","55.9","1118","Apparel","545","37","False","11","10","20","1118","重要深耕客户","重要客户"
"138","31","Female","Rural","34655","Fashion","28","10","115.1","1151","Home & Kitchen","152","7","False","7","28","10","1151","新客户","一般客户"
"139","56","Male","Rural","13799","Sports","11","14","96.71","1354","Apparel","158","46","True","11","11","14","1354","重要深耕客户","重要客户"
"140","44","Male","Suburban","110080","Sports","14","7","505.14","3536","Home & Kitchen","446","35","True","10","14","7","3536","重要挽留客户","重要客户"
"141","26","Male","Urban","60327","Technology","7","2","2454.5","4909","Home & Kitchen","303","45","False","12","7","2","4909","重要深耕客户","重要客户"
"142","32","Female","Suburban","86638","Travel","23","10","280.8","2808","Books","450","13","False","10","23","10","2808","重要挽留客户","重要客户"
"143","32","Female","Urban","64868","Travel","15","5","364","1820","Apparel","224","10","True","8","15","5","1820","潜力客户","潜力客户"
"144","43","Male","Rural","18687","Travel","22","10","188.5","1885","Home & Kitchen","43","2","True","8","22","10","1885","潜力客户","潜力客户"
"145","59","Female","Rural","4113","Technology","19","2","509","1018","Health & Beauty","264","6","False","4","19","2","1018","流失客户","流失客户"
"146","30","Male","Urban","65398","Travel","22","13","29.46","383","Home & Kitchen","3","8","True","8","22","13","383","潜力客户","潜力客户"
"147","49","Male","Suburban","105949","Sports","15","3","1022","3066","Health & Beauty","268","36","True","9","15","3","3066","潜力客户","潜力客户"
"148","56","Male","Suburban","86501","Fashion","28","10","279.4","2794","Apparel","596","25","False","9","28","10","2794","潜力客户","潜力客户"
"149","49","Male","Suburban","92607","Sports","24","8","314.38","2515","Apparel","16","44","True","8","24","8","2515","潜力客户","潜力客户"
"150","21","Female","Suburban","91623","Sports","8","14","194.71","2726","Apparel","334","47","True","12","8","14","2726","重要深耕客户","重要客户"
"151","47","Female","Rural","13701","Fashion","11","1","864","864","Home & Kitchen","464","40","True","6","11","1","864","一般维持客户","一般客户"
"152","54","Female","Rural","37293","Sports","29","3","464","1392","Electronics","59","7","True","5","29","3","1392","一般维持客户","一般客户"
"153","40","Male","Rural","8224","Technology","9","2","617","1234","Home & Kitchen","177","46","False","7","9","2","1234","新客户","一般客户"
"154","56","Male","Rural","30884","Fashion","15","2","598","1196","Home & Kitchen","63","23","True","6","15","2","1196","一般维持客户","一般客户"
"155","62","Male","Rural","31292","Sports","1","5","100.6","503","Books","561","19","False","8","1","5","503","潜力客户","潜力客户"
"156","32","Female","Suburban","81643","Food","1","14","276.29","3868","Books","307","46","True","15","1","14","3868","重要价值客户","核心客户"
"157","60","Male","Suburban","50228","Sports","19","1","2896","2896","Home & Kitchen","246","22","False","7","19","1","2896","新客户","一般客户"
"158","46","Female","Suburban","47763","Technology","3","2","1532","3064","Health & Beauty","289","13","False","11","3","2","3064","重要深耕客户","重要客户"
"159","53","Female","Suburban","99850","Travel","10","4","670.5","2682","Books","332","21","True","9","10","4","2682","潜力客户","潜力客户"
"160","30","Female","Rural","20727","Sports","8","15","135.53","2033","Home & Kitchen","527","1","False","12","8","15","2033","重要深耕客户","重要客户"
"161","49","Female","Rural","9955","Travel","15","7","252.14","1765","Electronics","255","19","False","8","15","7","1765","潜力客户","潜力客户"
"162","24","Female","Rural","9594","Food","10","18","18.33","330","Health & Beauty","510","33","False","10","10","18","330","重要挽留客户","重要客户"
"163","39","Female","Urban","103569","Sports","1","5","496.6","2483","Apparel","463","4","False","11","1","5","2483","重要深耕客户","重要客户"
"164","45","Male","Suburban","43404","Fashion","29","2","1005","2010","Home & Kitchen","199","42","False","4","29","2","2010","流失客户","流失客户"
"165","19","Male","Suburban","107768","Travel","18","10","273.4","2734","Home & Kitchen","271","3","True","11","18","10","2734","重要深耕客户","重要客户"
"166","59","Female","Rural","34184","Food","2","2","865.5","1731","Health & Beauty","558","27","False","8","2","2","1731","潜力客户","潜力客户"
"167","62","Female","Suburban","92815","Fashion","19","10","160.9","1609","Books","64","41","False","8","19","10","1609","潜力客户","潜力客户"
"168","23","Male","Suburban","47959","Fashion","13","8","247.88","1983","Books","230","35","True","9","13","8","1983","潜力客户","潜力客户"
"169","45","Female","Rural","31919","Fashion","22","1","896","896","Books","249","28","True","4","22","1","896","流失客户","流失客户"
"170","45","Female","Urban","1789","Fashion","1","8","458.13","3665","Apparel","246","6","False","14","1","8","3665","重要价值客户","核心客户"
"171","61","Male","Urban","76280","Sports","2","2","185","370","Health & Beauty","587","6","True","7","2","2","370","新客户","一般客户"
"172","61","Female","Urban","84537","Sports","29","3","1212.67","3638","Health & Beauty","157","44","True","8","29","3","3638","潜力客户","潜力客户"
"173","37","Female","Rural","25742","Sports","16","14","155.07","2171","Books","564","23","True","11","16","14","2171","重要深耕客户","重要客户"
"174","47","Female","Suburban","66781","Food","15","12","281.25","3375","Books","88","33","True","11","15","12","3375","重要深耕客户","重要客户"
"175","28","Male","Rural","10043","Food","13","9","215.67","1941","Electronics","313","16","True","10","13","9","1941","重要挽留客户","重要客户"
"176","45","Male","Rural","15446","Food","16","15","76.4","1146","Electronics","66","24","True","10","16","15","1146","重要挽留客户","重要客户"
"177","42","Male","Suburban","103595","Technology","17","2","1957.5","3915","Home & Kitchen","20","5","False","10","17","2","3915","重要挽留客户","重要客户"
"178","56","Female","Urban","119462","Food","21","6","739.83","4439","Home & Kitchen","33","41","False","10","21","6","4439","重要挽留客户","重要客户"
"179","50","Female","Urban","97483","Sports","29","15","201.67","3025","Health & Beauty","558","42","True","10","29","15","3025","重要挽留客户","重要客户"
"180","18","Male","Rural","15902","Sports","29","12","183.92","2207","Health & Beauty","73","13","True","8","29","12","2207","潜力客户","潜力客户"
"181","44","Female","Urban","131268","Technology","7","2","5128","10256","Apparel","343","47","False","12","7","2","10256","重要深耕客户","重要客户"
"182","30","Female","Rural","27951","Technology","24","2","271.5","543","Apparel","133","12","True","4","24","2","543","流失客户","流失客户"
"183","58","Female","Rural","25907","Food","26","18","23.39","421","Electronics","55","5","False","7","26","18","421","新客户","一般客户"
"184","20","Female","Suburban","119646","Travel","17","16","165.38","2646","Home & Kitchen","61","37","True","11","17","16","2646","重要深耕客户","重要客户"
"185","56","Female","Suburban","98713","Technology","7","1","4672","4672","Electronics","520","31","False","11","7","1","4672","重要深耕客户","重要客户"
"186","23","Male","Suburban","72735","Fashion","13","4","404.5","1618","Electronics","272","28","False","8","13","4","1618","潜力客户","潜力客户"
"187","25","Female","Rural","6736","Sports","5","8","16.25","130","Home & Kitchen","246","28","True","9","5","8","130","潜力客户","潜力客户"
"188","44","Male","Suburban","111256","Fashion","26","3","1061","3183","Apparel","176","30","True","7","26","3","3183","新客户","一般客户"
"189","26","Female","Urban","55579","Sports","17","1","3101","3101","Home & Kitchen","317","18","True","8","17","1","3101","潜力客户","潜力客户"
"190","54","Male","Urban","119140","Sports","3","14","231.36","3239","Books","131","44","True","14","3","14","3239","重要价值客户","核心客户"
"191","50","Female","Rural","26145","Technology","7","2","44.5","89","Books","102","27","False","7","7","2","89","新客户","一般客户"
"192","59","Male","Rural","28765","Technology","26","1","1189","1189","Books","310","35","True","4","26","1","1189","流失客户","流失客户"
"193","61","Female","Suburban","59463","Fashion","17","4","793.75","3175","Health & Beauty","292","26","False","9","17","4","3175","潜力客户","潜力客户"
"194","41","Male","Rural","16723","Sports","7","6","165.5","993","Apparel","495","39","True","9","7","6","993","潜力客户","潜力客户"
"195","32","Female","Rural","159","Fashion","21","10","128","1280","Apparel","361","49","False","8","21","10","1280","潜力客户","潜力客户"
"196","49","Male","Urban","13593","Travel","1","1","2119","2119","Health & Beauty","338","18","True","9","1","1","2119","潜力客户","潜力客户"
"197","49","Female","Urban","25255","Fashion","17","10","350.4","3504","Electronics","579","33","True","11","17","10","3504","重要深耕客户","重要客户"
"198","41","Male","Suburban","116350","Food","17","4","650","2600","Books","10","25","False","8","17","4","2600","潜力客户","潜力客户"
"199","58","Male","Rural","3650","Fashion","11","4","45","180","Books","49","31","True","7","11","4","180","新客户","一般客户"
"200","29","Female","Rural","10057","Food","25","7","206","1442","Electronics","487","37","True","6","25","7","1442","一般维持客户","一般客户"
"201","56","Female","Urban","80849","Food","27","3","868.33","2605","Home & Kitchen","321","2","True","6","27","3","2605","一般维持客户","一般客户"
"202","19","Male","Rural","27873","Food","29","16","3.13","50","Home & Kitchen","569","33","True","7","29","16","50","新客户","一般客户"
"203","20","Female","Urban","120899","Travel","3","6","165.83","995","Apparel","133","39","True","9","3","6","995","潜力客户","潜力客户"
"204","54","Male","Suburban","79900","Fashion","15","10","217.3","2173","Health & Beauty","583","43","False","10","15","10","2173","重要挽留客户","重要客户"
"205","34","Male","Urban","135936","Fashion","29","1","4770","4770","Apparel","83","43","True","7","29","1","4770","新客户","一般客户"
"206","19","Male","Rural","7286","Travel","21","14","3.86","54","Home & Kitchen","57","32","False","8","21","14","54","潜力客户","潜力客户"
"207","19","Female","Suburban","47520","Sports","11","1","3394","3394","Electronics","376","18","True","9","11","1","3394","潜力客户","潜力客户"
"208","45","Male","Urban","27236","Technology","26","3","2089","6267","Apparel","349","17","True","8","26","3","6267","潜力客户","潜力客户"
"209","40","Male","Urban","46819","Fashion","28","10","415.3","4153","Books","271","34","False","10","28","10","4153","重要挽留客户","重要客户"
"210","54","Female","Suburban","115816","Technology","16","1","3792","3792","Books","483","39","False","9","16","1","3792","潜力客户","潜力客户"
"211","49","Female","Suburban","58166","Travel","25","18","141.22","2542","Electronics","111","7","False","9","25","18","2542","潜力客户","潜力客户"
"212","50","Female","Urban","79612","Sports","22","9","4.33","39","Home & Kitchen","76","42","False","7","22","9","39","新客户","一般客户"
"213","18","Female","Rural","17192","Sports","28","5","417.4","2087","Books","158","35","False","7","28","5","2087","新客户","一般客户"
"214","36","Male","Urban","71654","Sports","9","11","424.55","4670","Books","532","30","True","13","9","11","4670","重要唤回客户","核心客户"
"215","19","Male","Suburban","46005","Travel","24","19","154.74","2940","Health & Beauty","329","12","False","11","24","19","2940","重要深耕客户","重要客户"
